PayByPalm 30-Day Master Tracker,,,,,,,,,,,,,,,,Task purpose & user impact,,
"September 1–30, 2026 • 73 task-specific user stories in E; purpose, beneficiaries and journey impact in Q:S. Open Task Stories for a compact reading view. Existing dates, owners, statuses and acceptance criteria are unchanged.",,,,,,,,,,,,,,,,Read alongside the story in column E. These are intended outcomes; status and acceptance evidence still determine completion.,,
,,,,,,,,,,,,,,,,,,
ID,Phase,Workstream,Task,Storyline / user story,Owner,Start,Due,Dependency,Priority,Status,% Complete,Acceptance criteria,Evidence / link,Blocker / notes,Schedule flag,Purpose / what this task is for,Who benefits,How it relates to users / journey impact
PB-017,2 Recognition & UX,User PWA,"Build installable PWA shell, routing and responsive navigation","As a customer using my phone, I want to open PayByPalm easily and navigate my account without needing a separate native app.",Frontend,Sep 2,Sep 5,PB-009,High,Not Started,0%,"PWA installs, loads on mobile/desktop and provides User, Merchant and Admin routes.",,,,"Build the responsive PWA shell, installation support and role-appropriate routes.",Customer; merchant; administrator,"Journey: enter the app. Customers reach their own account tools, merchants their portal and administrators configuration screens; navigation does not replace server-side access controls."
PB-018,2 Recognition & UX,User PWA,"Build sign-up, sign-in and profile screens","As a new customer, I want to create an account, sign in later and correct permitted profile details so my palm and card can be linked to a stable identity.",Frontend,Sep 3,Sep 6,PB-017,High,Not Started,0%,"Test user can create account, sign in and edit permitted profile fields.",,,,"Implement account creation, authentication and profile screens.",Customer,"Journey: account setup. The customer has a signed-in home for enrollment, saved-card information and receipts rather than relying on an operator to edit records."
PB-019,2 Recognition & UX,User PWA,Design consent and palm-enrollment flow,"As a customer considering palm payments, I want the enrollment screens to explain the purpose and privacy choices before the camera captures my hand.",Frontend,Sep 4,Sep 7,"PB-006, PB-017",Critical,Not Started,0%,"User sees purpose, consent, retention and deletion information before capture.",,,,"Design the sequence of notice, consent, guidance, capture and confirmation screens.",Customer; enrollment operator,Journey: informed enrollment. The customer understands what will happen next and can decline before capture; privacy information is not hidden after submission.
PB-020,2 Recognition & UX,Merchant Portal,Create merchant dashboard wireframes,"As a merchant opening my dashboard, I want to find today’s sales, transactions, terminals and expected settlements without hunting through unrelated screens.",Frontend,Sep 3,Sep 6,PB-001,High,Not Started,0%,"Wireframes cover today’s sales, transactions, terminals and settlements.",,,,Map the merchant portal’s page structure and information hierarchy before building it.,Merchant; merchant staff,"Journey: daily merchant operations. The wireframes connect a completed sale to its terminal and settlement view, making the proposed workflow easy to review early."
PB-021,2 Recognition & UX,Terminal Config,Define signed terminal configuration schema,"As a merchant, I want every terminal to have an identifiable, authorized configuration so that a device cannot quietly operate for the wrong shop.",Backend,Sep 3,Sep 6,PB-003,Critical,Not Started,0%,"Schema contains terminal ID, merchant assignment, environment, config version and scoped credential reference.",,,,"Define signed, versioned configuration with terminal ID, merchant assignment, environment and scoped credential reference.",Merchant; administrator; terminal operator,"Journey: device setup. The backend can distinguish the device, its assigned shop and test environment before allowing checkout."
PB-022,2 Recognition & UX,3D/CAD,"Measure Pi, screen, camera, connectors, ventilation and hand-clearance envelope","As a customer and cashier, we want a terminal whose screen is usable and whose camera has enough hand clearance, without exposed or strained cables.",Hardware/CAD,Sep 3,Sep 7,PB-007,Critical,Not Started,0%,Dimension sheet is complete and capture geometry awaits only PB-016.,,,,"Measure components, connector access, ventilation and the hand envelope before CAD work.",Customer; terminal operator; hardware builder,Journey: physical interaction. Actual dimensions inform the screen and camera placement; final capture geometry is incorporated after testing rather than guessed.
PB-023,3 Enrollment & Binding,User PWA,Implement server-created processor checkout for first card authorization,"As a customer linking a card for the first time, I want to enter its details in the processor’s checkout rather than give PayByPalm my raw card number.",Backend,Sep 8,Sep 10,"PB-004, PB-010",Critical,Not Started,0%,Enrollment checkout is initialized server-side with test keys and unique reference.,,,,Create a uniquely referenced test checkout on the server and redirect to the processor-hosted payment flow.,Customer,Journey: link a card. Card details and any required authentication are handled by the processor; PayByPalm starts the checkout but does not collect PAN or CVV.
PB-024,3 Enrollment & Binding,Payments,Verify first payment and store reusable authorization metadata,"As a customer who has completed checkout, I want PayByPalm to confirm the result and save only a usable payment reference for future palm payments.",Backend,Sep 9,Sep 11,PB-023,Critical,Not Started,0%,"Backend verifies amount/status, stores customer email, authorization code, signature and masked metadata only when reusable=true.",,,,Verify the first transaction and persist permitted reusable authorization and masked-card metadata server-side.,Customer; payment support team,Journey: finish card linking. The saved card appears only after verification and reusable-authorization checks; a frontend success message alone is not trusted.
PB-025,3 Enrollment & Binding,Payments,Reject non-reusable authorizations and duplicate card signatures,"As a customer, I want a clear retry when my card cannot be saved and I do not want the same card listed repeatedly after retrying enrollment.",Backend,Sep 10,Sep 11,PB-024,High,Not Started,0%,User receives a safe retry path; duplicate card is not stored twice.,,,,Reject non-reusable authorizations and handle duplicate card signatures safely.,Customer; support team,Journey: recover card enrollment. The customer either gains one valid saved-card entry or receives guidance to retry; unusable references do not create a false ready-to-pay state.
PB-026,3 Enrollment & Binding,User PWA,Show masked saved card and remove-card action,"As a customer, I want to recognize my linked card by masked details and remove it when I no longer want PayByPalm to use it.",Frontend,Sep 10,Sep 12,PB-024,High,Not Started,0%,User sees brand/last4 and can revoke the saved authorization reference locally.,,,,Build the saved-card view and revoke the local authorization link when removal is requested.,Customer,"Journey: manage payment access. The customer sees brand and last digits, not full card data; a removed local reference is no longer selected for future PayByPalm charges."
PB-027,3 Enrollment & Binding,Biometrics,Link PalmAI subject reference to user and active saved-card reference,"As a customer paying with my palm, I want the scan to find my account’s chosen active card, never another person’s card or one I removed.",Backend,Sep 10,Sep 12,"PB-013, PB-024",Critical,Not Started,0%,Palm reference resolves to user; user resolves to exactly one selected active payment authorization.,,,,Implement the explicit palm subject ? user ? active saved-authorization relationship.,Customer; merchant,"Journey: identify the funding reference. Palm recognition selects an account, not money itself; the backend resolves exactly one active reference before requesting a processor charge."
PB-028,3 Enrollment & Binding,User PWA,Complete guided palm enrollment in PWA/terminal,"As a customer enrolling, I want the app and terminal to guide me from consent through capture to a clear confirmation that my palm is linked.",Frontend,Sep 10,Sep 13,"PB-019, PB-027",Critical,Not Started,0%,"User can consent, capture, register and receive enrollment confirmation.",,,,"Connect consent, camera capture, PalmAI registration and account linking into one guided flow.",Customer; enrollment operator,Journey: complete palm enrollment. The customer knows whether enrollment succeeded and what to retry; the operator no longer joins the steps through manual database edits.
PB-029,3 Enrollment & Binding,Merchant Portal,Create merchant record and processor subaccount mapping,"As a merchant, I want my PayByPalm account mapped to my approved processor destination so transactions are attributed to my business.",Backend,Sep 8,Sep 11,"PB-003, PB-004",Critical,Not Started,0%,Merchant ID maps to processor subaccount/split fields without storing bank credentials on terminal.,,,,Create merchant records and store the provider subaccount or split mapping on the backend.,Merchant; administrator,"Journey: merchant onboarding. Each merchant has a known payment destination; the terminal never needs bank credentials, and PayByPalm does not become a wallet holding merchant funds."
PB-030,3 Enrollment & Binding,Terminal Config,Implement terminal registration and one-time activation code,"As an administrator setting up a new terminal, I want a one-time activation process so only an approved device receives scoped access.",Backend,Sep 8,Sep 11,PB-021,Critical,Not Started,0%,New terminal activates once and receives a scoped credential; activation code cannot be reused.,,,,"Register devices, issue scoped credentials and consume activation codes once.",Administrator; merchant; terminal operator,Journey: commission a terminal. The operator activates an approved unit without embedding a reusable setup code that could enroll additional devices later.
PB-031,3 Enrollment & Binding,Terminal Config,Implement admin assignment of one terminal to one merchant,"As a merchant, I want a terminal assigned to my shop, with controlled reassignment if it moves, so that its sales cannot drift between businesses.",Backend,Sep 10,Sep 12,"PB-029, PB-030",Critical,Not Started,0%,Assignment is auditable and rebind revokes the previous configuration.,,,,Build audited one-terminal-to-one-merchant binding and revoke the old configuration on rebind.,Merchant; administrator,Journey: assign or move a device. A terminal moved from Merchant A to Merchant B must receive a new authorized assignment; the prior configuration stops being valid.
PB-032,3 Enrollment & Binding,Terminal Config,Implement terminal config sync and version check,"As a cashier, I want the terminal to check that it is active and correctly configured before accepting a customer’s palm.",Terminal,Sep 11,Sep 13,PB-031,Critical,Not Started,0%,"Terminal loads signed config and refuses checkout when disabled, stale or unassigned.",,,,"Sync configuration and enforce version, assignment and disabled-device checks.",Terminal operator; merchant; customer,"Journey: pre-checkout readiness. An unassigned, disabled or stale device blocks checkout with an actionable state instead of attempting a potentially misrouted payment."
PB-033,3 Enrollment & Binding,Security,"Derive merchant identity from terminal credential, not client payload","As a merchant, I want the server to decide which business my terminal belongs to, so a modified request cannot redirect my sale elsewhere.",Backend,Sep 11,Sep 13,PB-031,Critical,Not Started,0%,Changing merchant_id in terminal request cannot redirect a transaction.,,,,"Resolve merchant identity from authenticated device credentials, not a client-supplied merchant ID.",Merchant; customer,Journey: secure payment routing. Altering the merchant ID in a request does not change the backend’s authorized destination; device identity remains the source of assignment.
PB-034,3 Enrollment & Binding,Merchant Portal,Build merchant overview and terminal list,"As a merchant with terminals, I want to see which devices belong to me and whether they have checked in recently.",Frontend,Sep 11,Sep 14,"PB-020, PB-031",High,Not Started,0%,"Merchant sees assigned terminals, status, config version and last-seen timestamp.",,,,"Build the merchant overview and assigned-terminal list with status, configuration version and last-seen information.",Merchant; merchant operations staff,"Journey: prepare for trading. The merchant can spot an unavailable or misconfigured device before a customer reaches checkout, while seeing only their own terminal inventory."
PB-035,3 Enrollment & Binding,3D/CAD,Produce enclosure CAD v1 using frozen capture geometry,"As a customer at the counter, I want a stable reader that positions the camera and guide naturally while leaving the cashier a usable screen.",Hardware/CAD,Sep 8,Sep 14,"PB-016, PB-022",Critical,Not Started,0%,"CAD includes screen, camera, hand guide, lighting, ventilation, power and maintenance access.",,,,Create enclosure CAD v1 using measured components and the frozen capture specification.,Customer; terminal operator; hardware builder,"Journey: physical checkout. Screen, camera, lighting, hand space, vents and maintenance access are designed together so the case supports capture instead of obstructing it."
PB-036,3 Enrollment & Binding,QA,Run complete enrollment journey on mobile and terminal,"As a new customer, I want to finish enrollment using only the PWA and terminal, without a developer secretly completing my setup.",QA,Sep 13,Sep 14,"PB-025, PB-028, PB-032",Critical,Not Started,0%,"A new user completes account, consent, card authorization and palm registration without database edits.",,,,"Test the full account, card, consent and palm-linking journey through supported interfaces.",Customer; enrollment operator; QA team,"Journey: ready to pay. A genuinely new test user reaches a usable enrolled state with no database intervention, proving the separate onboarding components work together."
PB-037,4 Payment & Hardware,Terminal,Build amount-entry and payment-confirmation screens,"As a customer about to scan, I want to see the merchant and amount I am being asked to pay; as a cashier, I want to enter that amount clearly.",Frontend,Sep 15,Sep 16,PB-032,Critical,Not Started,0%,Merchant can enter amount and see merchant/terminal identity before capture.,,,,Build terminal amount entry and the pre-capture confirmation screen.,Customer; terminal operator; merchant,"Journey: agree the purchase. Before a ?5,000 test payment, the terminal displays ?5,000 and the assigned merchant so mistakes can be caught before identification and charge."
PB-038,4 Payment & Hardware,Backend,Implement server-side 1:N identification endpoint,"As a customer scanning to pay, I want the backend to identify my account confidently or stop safely if it cannot decide who I am.",Backend,Sep 15,Sep 16,PB-027,Critical,Not Started,0%,Valid palm resolves to user while unknown/ambiguous response fails closed.,,,,Implement server-side 1:N lookup and fail-closed handling for unknown or ambiguous results.,Customer; merchant,Journey: identify at checkout. A valid test scan resolves to the intended user; an uncertain or unknown result cannot proceed to charge a guessed account.
PB-039,4 Payment & Hardware,Payments,Implement charge saved authorization with unique idempotency reference,"As a customer, I want one purchase to produce at most one charge, even if a slow connection makes the cashier retry.",Backend,Sep 15,Sep 17,"PB-024, PB-038",Critical,Not Started,0%,One checkout creates at most one processor charge despite retries.,,,,Implement saved-authorization charging with one durable checkout reference and retry deduplication.,Customer; merchant; support team,Journey: authorize payment. Repeating the same checkout resolves its existing attempt rather than silently creating another debit request; the processor still decides authorization.
PB-040,4 Payment & Hardware,Payments,Attach configured merchant subaccount/split to charge,"As a merchant receiving a palm payment, I want the processor request to carry my configured subaccount or split, not another shop’s destination.",Backend,Sep 16,Sep 17,"PB-029, PB-033, PB-039",Critical,Not Started,0%,Processor request uses the merchant configuration derived from authenticated terminal.,,,,Attach the server-resolved merchant’s payment-routing configuration to the charge request.,Merchant; customer,"Journey: route the sale. The ?5,000 test charge belongs to the merchant assigned to that terminal and follows the configured processor settlement flow."
PB-041,4 Payment & Hardware,Payments,Implement signed webhook receiver and idempotent event processing,"As a merchant waiting for payment confirmation, I want only authentic processor events to update a sale, even if notifications arrive twice or out of order.",Backend,Sep 15,Sep 17,"PB-004, PB-010",Critical,Not Started,0%,Invalid signature is rejected; duplicate/out-of-order events do not duplicate state changes.,,,,Verify webhook signatures and process repeated or late events idempotently.,Merchant; customer; support team,"Journey: receive the result. A forged event cannot create success, and a repeated event does not duplicate the transaction or undo a newer verified state."
PB-042,4 Payment & Hardware,Payments,Implement transaction verification fallback and amount check,"As a cashier, I want success to mean the processor confirmed the exact purchase amount, not merely that a browser callback said something worked.",Backend,Sep 17,Sep 18,"PB-039, PB-041",Critical,Not Started,0%,"Backend verifies reference, status, currency and exact expected amount before terminal success.",,,,"Verify reference, status, currency and expected amount, with a fallback when webhook delivery is delayed.",Merchant; customer,"Journey: trust the result. A ?5,000 purchase is not marked paid by confirmation for a different amount or reference; unresolved transactions remain unresolved until verified."
PB-043,4 Payment & Hardware,Terminal,Implement terminal state machine and safe timeout/retry UX,"As a customer waiting at the reader, I want to know whether it is capturing, identifying or authorizing, and what to do if it times out.",Terminal,Sep 16,Sep 18,"PB-037, PB-038, PB-039",Critical,Not Started,0%,"UI covers capture, identifying, authorizing, success, decline, timeout and retry without double-charge.",,,,"Implement clear terminal states, safe timeout handling and retry behavior tied to the existing checkout.",Customer; terminal operator,"Journey: wait and recover. The screen distinguishes a decline from an unknown outcome, avoiding repeated scans that could otherwise encourage duplicate charge attempts."
PB-044,4 Payment & Hardware,Merchant Portal,Build transaction list and transaction-detail view,"As a merchant reviewing a sale, I want to open its record and see the amount, fee, status, terminal and processor reference.",Frontend,Sep 15,Sep 18,"PB-034, PB-041",High,Not Started,0%,"Merchant can filter transactions and inspect terminal, gross amount, fee, status and processor reference.",,,,"Build a tenant-scoped transaction list, filters and detail view.",Merchant; merchant support staff,Journey: after checkout. The merchant can locate a disputed or pending sale and provide its reference for investigation without viewing another merchant’s transactions.
PB-045,4 Payment & Hardware,Merchant Portal,Build expected T+1 settlement page,"As a merchant planning my cash flow, I want to distinguish a successful sale from funds expected in the next settlement cycle.",Frontend,Sep 16,Sep 19,PB-044,Critical,Not Started,0%,Page groups successful charges by expected settlement date and configured merchant.,,,,Group successful transactions by merchant and expected T+1 working-day settlement date.,Merchant,Journey: sale to expected settlement. The portal shows when net proceeds are expected under the configured schedule; an expected date is not a guarantee or proof that payout occurred.
PB-046,4 Payment & Hardware,Settlement,Integrate processor settlement list and transaction endpoints,"As a merchant, I want the settlement page to use processor-reported records instead of assuming every successful charge has already been paid out.",Backend,Sep 17,Sep 20,PB-041,High,Not Started,0%,Backend imports processor settlement IDs/status and their included transactions.,,,,"Import settlement IDs, statuses and included transactions from the processor; label fixtures if sandbox data is unavailable.",Merchant; reconciliation team,Journey: check actual settlement status. The portal can distinguish imported processor evidence from an estimate or a clearly labeled demonstration fixture.
PB-047,4 Payment & Hardware,Settlement,Build reconciliation job and variance flags,"As a merchant, I want missing transactions and amount differences highlighted so I can understand why a settlement differs from expected net sales.",Backend,Sep 18,Sep 21,"PB-045, PB-046",Critical,Not Started,0%,Expected net is matched to processor settlement; missing/variance items are visible.,,,,Match expected transaction totals and fees against settlement records and expose reconciliation exceptions.,Merchant; reconciliation and support teams,"Journey: reconcile. A mismatch becomes a visible issue to investigate rather than a silently accepted total; PayByPalm reconciles records, not manually distributes funds."
PB-048,4 Payment & Hardware,3D/CAD,Print enclosure v1 and inspect fit,"As a customer using the first physical prototype, I want enough room for my hand and a clear camera view; as a cashier, I need the screen and cables to fit.",Hardware/CAD,Sep 15,Sep 17,PB-035,Critical,Not Started,0%,"All components fit; camera, hand clearance, power and ventilation issues are logged.",,,,"Print enclosure v1 and record component fit, hand clearance, camera, power and ventilation issues.",Customer; terminal operator; hardware builder,Journey: try the real device. Physical testing reveals problems a CAD model may miss before the final enclosure is printed.
PB-049,4 Payment & Hardware,3D/CAD,Revise and print final enclosure,"As a customer returning to the terminal, I want the awkward hand placement and fit problems found in the first print to be corrected.",Hardware/CAD,Sep 18,Sep 20,PB-048,High,Not Started,0%,Final print addresses fit and capture problems; editable CAD and STL are saved.,,,,"Revise the enclosure from measured fit and capture feedback, then print the revised version.",Customer; terminal operator,"Journey: improve the physical experience. The final prototype addresses recorded usability and component-fit issues, with editable CAD and printable STL retained for later changes."
PB-050,4 Payment & Hardware,Terminal/Hardware,"Assemble Pi, camera, display, lighting and enclosure","As a cashier, I want one securely assembled terminal I can place on the counter instead of loose parts that shift whenever a customer scans.",Hardware/CAD,Sep 20,Sep 21,PB-049,Critical,Not Started,0%,"Terminal is mechanically secure, powered and maintains frozen capture geometry.",,,,"Mount the Pi, camera, screen and lighting securely in the enclosure and validate power and capture geometry.",Terminal operator; customer; merchant,"Journey: ready-to-use hardware. The guide, lens and lighting remain aligned during use, making the software capture instructions meaningful on the assembled device."
PB-051,4 Payment & Hardware,Integration,"Complete first end-to-end ?5,000 sandbox palm payment","As an enrolled test customer, I want to pay a merchant ?5,000 by palm and see the same verified result on the terminal and merchant page.",QA,Sep 21,Sep 21,"PB-040, PB-042, PB-043, PB-050",Critical,Not Started,0%,"Palm identifies user, saved authorization is charged once, webhook verifies success and merchant sees transaction.",,,,"Prove the first integrated sandbox purchase across hardware, identity lookup, saved authorization, verification and merchant records.",Test customer; test merchant; QA team,"Journey: first complete payment. One correct test user, one test charge and one matching merchant transaction demonstrate the core flow; no real debit or payout is claimed."
PB-052,5 Settlement & Hardening,Settlement,Run simulated/sandbox T+1 reconciliation for two merchants,"As Merchant A, I want my test sales and settlement records kept separate from Merchant B’s even when both use PayByPalm.",QA,Sep 22,Sep 23,"PB-047, PB-051",Critical,Not Started,0%,Transactions appear only for correct merchant and reconcile against processor/mock settlement data.,,,,Run a two-merchant reconciliation scenario with processor sandbox data or clearly labeled mock settlements.,Test merchants; QA team,Journey: multi-merchant settlement. Each merchant sees only their own expected and reconciled amounts; simulated T+1 progression is not represented as money arriving in a bank account.
PB-053,5 Settlement & Hardening,Security,"Complete threat model for biometric, device, token, API and webhook risks","As a customer and merchant, we want the team to examine how stolen devices, leaked references or misleading palm captures could harm us before considering live use.",Security/Compliance,Sep 22,Sep 23,PB-051,Critical,Not Started,0%,"Threats have mitigations, owners and go-live blockers.",,,,"Document threats, mitigations, accountable owners and remaining go-live blockers across biometrics, APIs, devices and payments.",Customer; merchant; security reviewer,Journey: protect the whole service. Weaknesses become explicit work items; a basic RGB palm demo is not assumed to provide proven liveness or production anti-spoofing protection.
PB-054,5 Settlement & Hardening,Security,Encrypt sensitive references and redact application logs,"As a customer, I want my palm and saved-payment references protected in storage and absent from routine debugging output.",Backend,Sep 22,Sep 24,PB-053,Critical,Not Started,0%,Authorization/palm references are encrypted at rest where supported and never emitted in logs.,,,,Apply appropriate encryption to sensitive stored references and redact application logs.,Customer; security and support teams,Journey: private enrollment and payment. Engineers can diagnose a failed checkout without seeing reusable payment secrets or palm reference values in ordinary logs.
